Step;N 
55600 ; 15
55700 ; 9
55800 ; 19
55900 ; 10
56000 ; 20
56100 ; 25
56200 ; 10
56300 ; 17
56400 ; 12
56500 ; 13
56600 ; 22
56700 ; 38
56800 ; 10
56900 ; 22
57000 ; 32
57100 ; 24
57200 ; 19
57300 ; 19
57400 ; 14
57500 ; 22
57600 ; 18
57700 ; 17
57800 ; 28
57900 ; 14
58000 ; 23
58100 ; 17
58200 ; 19
58300 ; 35
58400 ; 14
58500 ; 23
58600 ; 12
58700 ; 12
58800 ; 29
58900 ; 14
59000 ; 31
59100 ; 31
59200 ; 11
59300 ; 17
59400 ; 26
59500 ; 19
59600 ; 18
59700 ; 13
59800 ; 12
59900 ; 18
60000 ; 30
60100 ; 13
60200 ; 16
60300 ; 20
60400 ; 20
60500 ; 15
60600 ; 16
60700 ; 14
60800 ; 22
60900 ; 16
61000 ; 14
61100 ; 19
61200 ; 13
61300 ; 15
61400 ; 16
61500 ; 16
61600 ; 32
61700 ; 18
61800 ; 12
61900 ; 14
62000 ; 12
62100 ; 22
62200 ; 22
62300 ; 11
62400 ; 27
62500 ; 14
62600 ; 25
62700 ; 25
62800 ; 23
62900 ; 10
63000 ; 11
63100 ; 13
63200 ; 14
63300 ; 11
63400 ; 17
63500 ; 14
63600 ; 15
63700 ; 14
63800 ; 24
63900 ; 23
64000 ; 19
64100 ; 14
64200 ; 15
64300 ; 9
64400 ; 11
64500 ; 15
64600 ; 11
64700 ; 24
64800 ; 13
64900 ; 15
65000 ; 21
65100 ; 25
65200 ; 22
65300 ; 27
65400 ; 15
65500 ; 9
65600 ; 29
65700 ; 9
65800 ; 9
65900 ; 19
66000 ; 18
66100 ; 11
66200 ; 28
66300 ; 8
66400 ; 36
66500 ; 24
66600 ; 18
66700 ; 17
66800 ; 28
66900 ; 9
67000 ; 36
67100 ; 13
67200 ; 12
67300 ; 14
67400 ; 20
67500 ; 14
67600 ; 14
67700 ; 13
67800 ; 9
67900 ; 20
68000 ; 15
68100 ; 15
68200 ; 20
68300 ; 15
68400 ; 16
68500 ; 32
68600 ; 13
68700 ; 18
68800 ; 17
68900 ; 17
69000 ; 12
69100 ; 10
69200 ; 35
69300 ; 15
69400 ; 6
69500 ; 15
69600 ; 26
69700 ; 23
69800 ; 11
69900 ; 20
70000 ; 20
70100 ; 21
70200 ; 35
70300 ; 10
70400 ; 9
70500 ; 20
70600 ; 17
70700 ; 22
70800 ; 8
70900 ; 11
71000 ; 24
71100 ; 18
71200 ; 24
71300 ; 23
71400 ; 24
71500 ; 6
71600 ; 11
71700 ; 8
71800 ; 12
71900 ; 14
72000 ; 18
72100 ; 14
72200 ; 15
72300 ; 21
72400 ; 26
72500 ; 28
72600 ; 6
72700 ; 15
72800 ; 20
72900 ; 22
73000 ; 23
73100 ; 22
73200 ; 20
73300 ; 27
73400 ; 16
73500 ; 25
73600 ; 16
73700 ; 17
73800 ; 32
73900 ; 14
74000 ; 22
74100 ; 15
74200 ; 12
74300 ; 13
74400 ; 13
74500 ; 26
74600 ; 22
74700 ; 11
74800 ; 22
74900 ; 10
75000 ; 11
75100 ; 11
75200 ; 21
75300 ; 39
75400 ; 14
75500 ; 20
75600 ; 27
75700 ; 4
75800 ; 42
75900 ; 27
76000 ; 39
76100 ; 34
76200 ; 26
76300 ; 7
76400 ; 13
76500 ; 19
76600 ; 17
76700 ; 14
76800 ; 21
76900 ; 28
77000 ; 25
77100 ; 14
77200 ; 9
77300 ; 9
77400 ; 29
77500 ; 18
77600 ; 16
77700 ; 7
77800 ; 17
77900 ; 13
78000 ; 47
78100 ; 18
78200 ; 14
78300 ; 16
78400 ; 14
78500 ; 19
78600 ; 14
78700 ; 26
78800 ; 13
78900 ; 14
79000 ; 21
79100 ; 8
79200 ; 27
79300 ; 15
79400 ; 15
79500 ; 22
79600 ; 19
79700 ; 5
