Step;N 
66900 ; 286
67000 ; 288
67100 ; 267
67200 ; 273
67300 ; 276
67400 ; 290
67500 ; 287
67600 ; 277
67700 ; 269
67800 ; 290
67900 ; 295
68000 ; 277
68100 ; 278
68200 ; 281
68300 ; 273
68400 ; 285
68500 ; 294
68600 ; 279
68700 ; 292
68800 ; 278
68900 ; 292
69000 ; 287
69100 ; 279
69200 ; 300
69300 ; 278
69400 ; 279
69500 ; 286
69600 ; 281
69700 ; 287
69800 ; 296
69900 ; 285
70000 ; 299
70100 ; 259
70200 ; 276
70300 ; 286
70400 ; 278
70500 ; 307
70600 ; 290
70700 ; 277
70800 ; 275
70900 ; 273
71000 ; 288
71100 ; 273
71200 ; 305
71300 ; 304
71400 ; 286
71500 ; 272
71600 ; 290
71700 ; 292
71800 ; 297
71900 ; 284
72000 ; 293
72100 ; 283
72200 ; 270
72300 ; 305
72400 ; 273
72500 ; 298
72600 ; 293
72700 ; 294
72800 ; 295
72900 ; 289
73000 ; 285
73100 ; 280
73200 ; 275
73300 ; 275
73400 ; 277
73500 ; 293
73600 ; 277
73700 ; 297
73800 ; 286
73900 ; 281
74000 ; 294
74100 ; 275
74200 ; 272
74300 ; 285
74400 ; 306
74500 ; 296
74600 ; 268
74700 ; 290
74800 ; 294
74900 ; 278
75000 ; 279
75100 ; 291
75200 ; 283
75300 ; 294
75400 ; 290
75500 ; 274
75600 ; 260
75700 ; 270
75800 ; 300
75900 ; 298
76000 ; 278
76100 ; 281
76200 ; 283
76300 ; 285
76400 ; 283
76500 ; 283
76600 ; 280
76700 ; 277
76800 ; 283
76900 ; 293
77000 ; 300
77100 ; 288
77200 ; 294
77300 ; 276
77400 ; 279
77500 ; 283
77600 ; 288
77700 ; 277
77800 ; 262
77900 ; 284
78000 ; 277
78100 ; 283
78200 ; 264
78300 ; 281
78400 ; 293
78500 ; 276
78600 ; 276
78700 ; 285
78800 ; 267
78900 ; 288
79000 ; 288
79100 ; 278
79200 ; 295
79300 ; 298
79400 ; 268
79500 ; 282
79600 ; 279
79700 ; 285
79800 ; 284
79900 ; 292
80000 ; 280
80100 ; 290
80200 ; 280
80300 ; 266
80400 ; 299
80500 ; 276
80600 ; 304
80700 ; 279
80800 ; 272
80900 ; 279
81000 ; 282
81100 ; 285
81200 ; 293
81300 ; 266
81400 ; 277
81500 ; 292
81600 ; 275
81700 ; 274
81800 ; 273
81900 ; 293
82000 ; 308
82100 ; 276
82200 ; 277
82300 ; 274
82400 ; 278
82500 ; 282
82600 ; 267
82700 ; 284
82800 ; 298
82900 ; 299
83000 ; 284
83100 ; 293
83200 ; 288
83300 ; 286
83400 ; 290
83500 ; 319
83600 ; 281
83700 ; 287
83800 ; 276
83900 ; 266
84000 ; 280
84100 ; 286
84200 ; 273
84300 ; 289
84400 ; 295
84500 ; 283
84600 ; 286
84700 ; 284
84800 ; 288
84900 ; 268
85000 ; 275
85100 ; 280
85200 ; 277
85300 ; 311
85400 ; 259
85500 ; 274
85600 ; 264
85700 ; 282
85800 ; 275
85900 ; 280
86000 ; 277
86100 ; 275
86200 ; 292
86300 ; 287
86400 ; 291
86500 ; 297
86600 ; 281
86700 ; 281
86800 ; 270
86900 ; 278
87000 ; 291
87100 ; 291
87200 ; 280
87300 ; 271
87400 ; 286
87500 ; 290
87600 ; 278
87700 ; 283
87800 ; 292
87900 ; 286
88000 ; 282
88100 ; 277
88200 ; 289
88300 ; 290
88400 ; 279
88500 ; 291
88600 ; 287
88700 ; 279
88800 ; 290
88900 ; 303
89000 ; 289
89100 ; 283
89200 ; 292
89300 ; 270
89400 ; 279
89500 ; 287
89600 ; 274
89700 ; 279
89800 ; 289
89900 ; 274
90000 ; 290
90100 ; 284
90200 ; 294
90300 ; 287
90400 ; 297
90500 ; 296
90600 ; 298
90700 ; 281
90800 ; 279
90900 ; 303
91000 ; 286
91100 ; 253
91200 ; 270
91300 ; 300
91400 ; 299
91500 ; 280
91600 ; 283
91700 ; 292
91800 ; 276
91900 ; 296
92000 ; 274
92100 ; 285
92200 ; 276
92300 ; 292
92400 ; 283
92500 ; 287
92600 ; 273
92700 ; 267
92800 ; 274
92900 ; 276
93000 ; 268
93100 ; 288
93200 ; 298
93300 ; 289
93400 ; 288
93500 ; 282
93600 ; 279
93700 ; 293
93800 ; 293
93900 ; 281
94000 ; 296
94100 ; 293
94200 ; 281
94300 ; 284
94400 ; 286
94500 ; 286
94600 ; 280
94700 ; 276
94800 ; 279
94900 ; 284
95000 ; 283
95100 ; 266
95200 ; 283
95300 ; 285
95400 ; 279
95500 ; 277
95600 ; 292
95700 ; 280
95800 ; 272
95900 ; 287
96000 ; 289
96100 ; 291
96200 ; 285
96300 ; 293
96400 ; 265
96500 ; 273
96600 ; 288
96700 ; 284
96800 ; 283
96900 ; 282
97000 ; 276
97100 ; 281
97200 ; 285
97300 ; 288
97400 ; 308
97500 ; 281
97600 ; 292
97700 ; 279
97800 ; 291
97900 ; 288
98000 ; 273
98100 ; 282
98200 ; 300
98300 ; 290
98400 ; 286
98500 ; 272
98600 ; 276
98700 ; 277
98800 ; 290
98900 ; 271
99000 ; 287
99100 ; 278
99200 ; 278
99300 ; 261
99400 ; 300
99500 ; 275
99600 ; 280
99700 ; 279
99800 ; 285
99900 ; 291
100000 ; 288
100100 ; 274
100200 ; 288
100300 ; 266
100400 ; 287
100500 ; 282
100600 ; 287
100700 ; 294
100800 ; 277
100900 ; 296
101000 ; 269
101100 ; 270
101200 ; 277
101300 ; 286
101400 ; 275
101500 ; 286
101600 ; 265
101700 ; 287
101800 ; 274
101900 ; 289
102000 ; 290
102100 ; 289
102200 ; 301
102300 ; 278
102400 ; 280
102500 ; 285
102600 ; 297
102700 ; 275
102800 ; 278
102900 ; 276
103000 ; 288
103100 ; 291
103200 ; 285
103300 ; 282
103400 ; 273
103500 ; 281
103600 ; 303
103700 ; 276
103800 ; 277
103900 ; 281
104000 ; 297
104100 ; 261
104200 ; 280
104300 ; 299
104400 ; 280
104500 ; 295
104600 ; 294
104700 ; 287
104800 ; 301
104900 ; 291
105000 ; 284
105100 ; 279
105200 ; 287
105300 ; 274
105400 ; 254
105500 ; 294
105600 ; 307
105700 ; 274
105800 ; 288
105900 ; 292
106000 ; 273
106100 ; 286
106200 ; 291
106300 ; 289
106400 ; 285
106500 ; 281
106600 ; 294
106700 ; 295
106800 ; 288
106900 ; 277
107000 ; 270
107100 ; 294
107200 ; 287
107300 ; 265
107400 ; 280
107500 ; 301
107600 ; 302
107700 ; 273
107800 ; 287
107900 ; 276
108000 ; 293
108100 ; 294
108200 ; 272
108300 ; 265
108400 ; 278
108500 ; 277
108600 ; 290
108700 ; 290
108800 ; 286
108900 ; 281
109000 ; 288
109100 ; 275
109200 ; 298
109300 ; 291
109400 ; 293
109500 ; 273
109600 ; 274
109700 ; 287
109800 ; 286
109900 ; 282
110000 ; 293
110100 ; 293
110200 ; 277
110300 ; 280
110400 ; 287
110500 ; 300
110600 ; 277
110700 ; 279
110800 ; 287
110900 ; 310
111000 ; 291
111100 ; 292
111200 ; 269
111300 ; 271
111400 ; 281
111500 ; 268
111600 ; 280
111700 ; 288
111800 ; 278
111900 ; 270
112000 ; 275
112100 ; 281
112200 ; 280
112300 ; 281
112400 ; 280
112500 ; 280
112600 ; 288
112700 ; 279
112800 ; 269
112900 ; 277
113000 ; 291
113100 ; 306
113200 ; 274
113300 ; 284
113400 ; 272
113500 ; 288
113600 ; 287
113700 ; 290
113800 ; 288
113900 ; 281
114000 ; 286
114100 ; 274
114200 ; 282
114300 ; 303
114400 ; 291
114500 ; 290
114600 ; 285
114700 ; 285
114800 ; 289
114900 ; 289
115000 ; 276
115100 ; 286
115200 ; 281
115300 ; 264
115400 ; 286
115500 ; 271
115600 ; 290
115700 ; 285
115800 ; 290
115900 ; 268
116000 ; 280
116100 ; 296
116200 ; 285
116300 ; 287
116400 ; 276
116500 ; 284
116600 ; 281
116700 ; 282
116800 ; 279
116900 ; 273
117000 ; 255
117100 ; 268
117200 ; 279
117300 ; 277
117400 ; 270
117500 ; 281
117600 ; 281
117700 ; 282
117800 ; 282
117900 ; 267
118000 ; 291
118100 ; 271
118200 ; 283
118300 ; 285
118400 ; 298
118500 ; 282
118600 ; 275
118700 ; 279
118800 ; 286
118900 ; 291
119000 ; 295
119100 ; 287
119200 ; 283
119300 ; 290
119400 ; 291
119500 ; 285
119600 ; 289
