Step;N 
73100 ; 54
73200 ; 47
73300 ; 41
73400 ; 55
73500 ; 48
73600 ; 44
73700 ; 46
73800 ; 44
73900 ; 46
74000 ; 40
74100 ; 57
74200 ; 48
74300 ; 48
74400 ; 51
74500 ; 59
74600 ; 46
74700 ; 46
74800 ; 55
74900 ; 46
75000 ; 49
75100 ; 56
75200 ; 42
75300 ; 49
75400 ; 46
75500 ; 44
75600 ; 55
75700 ; 43
75800 ; 46
75900 ; 33
76000 ; 75
76100 ; 49
76200 ; 30
76300 ; 57
76400 ; 35
76500 ; 50
76600 ; 57
76700 ; 61
76800 ; 51
76900 ; 60
77000 ; 49
77100 ; 47
77200 ; 45
77300 ; 41
77400 ; 44
77500 ; 48
77600 ; 52
77700 ; 42
77800 ; 47
77900 ; 47
78000 ; 55
78100 ; 37
78200 ; 45
78300 ; 52
78400 ; 45
78500 ; 56
78600 ; 57
78700 ; 48
78800 ; 49
78900 ; 43
79000 ; 62
79100 ; 39
79200 ; 47
79300 ; 45
79400 ; 49
79500 ; 51
79600 ; 52
79700 ; 43
79800 ; 48
79900 ; 43
80000 ; 41
80100 ; 39
80200 ; 45
80300 ; 45
80400 ; 48
80500 ; 43
80600 ; 38
80700 ; 60
80800 ; 48
80900 ; 57
81000 ; 43
81100 ; 43
81200 ; 41
81300 ; 50
81400 ; 41
81500 ; 51
81600 ; 44
81700 ; 53
81800 ; 47
81900 ; 41
82000 ; 55
82100 ; 53
82200 ; 48
82300 ; 38
82400 ; 39
82500 ; 45
82600 ; 55
82700 ; 61
82800 ; 44
82900 ; 60
83000 ; 48
83100 ; 61
83200 ; 41
83300 ; 46
83400 ; 50
83500 ; 54
83600 ; 62
83700 ; 45
83800 ; 46
83900 ; 49
84000 ; 49
84100 ; 54
84200 ; 51
84300 ; 44
84400 ; 42
84500 ; 45
84600 ; 47
84700 ; 48
84800 ; 53
84900 ; 49
85000 ; 43
85100 ; 46
85200 ; 49
85300 ; 56
85400 ; 48
85500 ; 48
85600 ; 46
85700 ; 55
85800 ; 46
85900 ; 51
86000 ; 42
86100 ; 47
86200 ; 48
86300 ; 46
86400 ; 45
86500 ; 55
86600 ; 41
86700 ; 59
86800 ; 41
86900 ; 40
87000 ; 46
87100 ; 52
87200 ; 52
87300 ; 50
87400 ; 50
87500 ; 49
87600 ; 41
87700 ; 51
87800 ; 43
87900 ; 59
88000 ; 36
88100 ; 68
88200 ; 54
88300 ; 51
88400 ; 40
88500 ; 49
88600 ; 54
88700 ; 61
88800 ; 39
88900 ; 51
89000 ; 55
89100 ; 46
89200 ; 47
89300 ; 50
89400 ; 49
89500 ; 52
89600 ; 39
89700 ; 49
89800 ; 43
89900 ; 58
90000 ; 51
90100 ; 46
90200 ; 49
90300 ; 42
90400 ; 44
90500 ; 52
90600 ; 42
90700 ; 44
90800 ; 45
90900 ; 61
91000 ; 38
91100 ; 53
91200 ; 44
91300 ; 55
91400 ; 51
91500 ; 49
91600 ; 45
91700 ; 40
91800 ; 35
91900 ; 38
92000 ; 56
92100 ; 46
92200 ; 40
92300 ; 58
92400 ; 42
92500 ; 50
92600 ; 41
92700 ; 47
92800 ; 42
92900 ; 38
93000 ; 43
93100 ; 45
93200 ; 59
93300 ; 46
93400 ; 45
93500 ; 61
93600 ; 42
93700 ; 40
93800 ; 42
93900 ; 53
94000 ; 46
94100 ; 44
94200 ; 57
94300 ; 51
94400 ; 46
94500 ; 49
94600 ; 41
94700 ; 44
94800 ; 34
94900 ; 48
95000 ; 54
95100 ; 50
95200 ; 41
95300 ; 46
95400 ; 41
95500 ; 54
95600 ; 47
95700 ; 49
95800 ; 46
95900 ; 45
96000 ; 52
96100 ; 49
96200 ; 47
96300 ; 33
96400 ; 52
96500 ; 50
96600 ; 49
96700 ; 44
96800 ; 52
96900 ; 51
97000 ; 51
97100 ; 50
97200 ; 37
97300 ; 45
97400 ; 43
97500 ; 47
97600 ; 47
97700 ; 49
97800 ; 54
97900 ; 47
98000 ; 46
98100 ; 48
98200 ; 48
98300 ; 59
98400 ; 43
98500 ; 61
98600 ; 44
98700 ; 43
98800 ; 49
98900 ; 42
99000 ; 47
99100 ; 42
99200 ; 47
99300 ; 44
99400 ; 46
99500 ; 52
99600 ; 42
99700 ; 49
99800 ; 51
99900 ; 45
100000 ; 48
100100 ; 60
100200 ; 49
100300 ; 44
100400 ; 42
100500 ; 48
100600 ; 51
100700 ; 48
100800 ; 47
100900 ; 52
101000 ; 52
101100 ; 55
101200 ; 39
101300 ; 41
101400 ; 47
101500 ; 57
101600 ; 55
101700 ; 46
101800 ; 54
101900 ; 45
102000 ; 50
102100 ; 41
102200 ; 45
102300 ; 53
102400 ; 43
102500 ; 45
102600 ; 43
102700 ; 55
102800 ; 47
102900 ; 41
103000 ; 48
103100 ; 54
103200 ; 48
103300 ; 51
103400 ; 57
103500 ; 47
103600 ; 41
103700 ; 46
103800 ; 56
103900 ; 39
104000 ; 43
104100 ; 35
104200 ; 46
104300 ; 43
104400 ; 47
104500 ; 46
104600 ; 31
104700 ; 51
104800 ; 52
104900 ; 47
105000 ; 42
105100 ; 47
105200 ; 54
105300 ; 50
105400 ; 48
105500 ; 54
105600 ; 39
105700 ; 38
105800 ; 49
105900 ; 51
106000 ; 48
106100 ; 47
106200 ; 52
106300 ; 51
106400 ; 54
106500 ; 46
106600 ; 38
106700 ; 51
106800 ; 42
106900 ; 46
107000 ; 57
107100 ; 29
107200 ; 48
107300 ; 47
107400 ; 46
107500 ; 47
107600 ; 49
107700 ; 46
107800 ; 42
107900 ; 49
108000 ; 41
108100 ; 39
108200 ; 58
108300 ; 58
108400 ; 44
108500 ; 49
108600 ; 40
108700 ; 48
108800 ; 44
108900 ; 39
109000 ; 52
109100 ; 59
109200 ; 46
109300 ; 60
109400 ; 47
109500 ; 35
109600 ; 53
109700 ; 57
109800 ; 56
109900 ; 70
110000 ; 44
110100 ; 40
110200 ; 48
110300 ; 64
110400 ; 45
110500 ; 50
110600 ; 55
110700 ; 54
110800 ; 56
110900 ; 36
111000 ; 42
111100 ; 53
111200 ; 49
111300 ; 61
111400 ; 43
111500 ; 42
111600 ; 40
111700 ; 50
111800 ; 47
111900 ; 49
112000 ; 44
112100 ; 41
112200 ; 45
112300 ; 50
112400 ; 53
112500 ; 50
112600 ; 42
112700 ; 55
112800 ; 45
112900 ; 59
113000 ; 49
113100 ; 46
113200 ; 47
113300 ; 49
113400 ; 38
113500 ; 40
113600 ; 49
113700 ; 42
113800 ; 56
113900 ; 51
114000 ; 41
114100 ; 47
114200 ; 48
114300 ; 53
114400 ; 44
114500 ; 51
114600 ; 53
114700 ; 48
114800 ; 41
114900 ; 47
115000 ; 53
115100 ; 41
115200 ; 54
115300 ; 41
115400 ; 47
115500 ; 46
115600 ; 55
115700 ; 55
115800 ; 39
115900 ; 44
116000 ; 40
116100 ; 54
116200 ; 50
116300 ; 51
116400 ; 50
116500 ; 48
116600 ; 52
116700 ; 52
116800 ; 50
116900 ; 62
117000 ; 55
117100 ; 57
117200 ; 49
117300 ; 45
117400 ; 48
117500 ; 44
117600 ; 45
117700 ; 44
117800 ; 47
117900 ; 46
118000 ; 49
118100 ; 37
118200 ; 46
118300 ; 39
118400 ; 46
118500 ; 42
118600 ; 52
118700 ; 48
118800 ; 42
118900 ; 54
119000 ; 43
119100 ; 48
119200 ; 50
119300 ; 57
119400 ; 43
119500 ; 53
119600 ; 51
119700 ; 58
119800 ; 55
119900 ; 41
120000 ; 48
120100 ; 52
120200 ; 48
120300 ; 49
120400 ; 38
120500 ; 46
120600 ; 50
120700 ; 50
120800 ; 44
120900 ; 38
121000 ; 51
121100 ; 53
121200 ; 60
121300 ; 55
121400 ; 42
121500 ; 44
121600 ; 42
121700 ; 44
121800 ; 50
121900 ; 38
122000 ; 47
122100 ; 38
122200 ; 59
122300 ; 54
122400 ; 43
122500 ; 45
122600 ; 50
122700 ; 47
122800 ; 54
122900 ; 54
123000 ; 50
123100 ; 50
123200 ; 49
123300 ; 44
123400 ; 40
123500 ; 42
123600 ; 55
123700 ; 49
123800 ; 41
123900 ; 41
124000 ; 43
124100 ; 47
124200 ; 49
124300 ; 46
124400 ; 45
124500 ; 41
124600 ; 41
124700 ; 56
124800 ; 59
124900 ; 42
125000 ; 45
125100 ; 58
125200 ; 46
125300 ; 40
125400 ; 53
125500 ; 55
125600 ; 34
125700 ; 42
125800 ; 56
125900 ; 39
126000 ; 54
126100 ; 72
126200 ; 51
126300 ; 49
126400 ; 45
126500 ; 52
126600 ; 55
126700 ; 49
126800 ; 45
126900 ; 43
127000 ; 39
127100 ; 60
127200 ; 50
127300 ; 55
127400 ; 45
127500 ; 40
127600 ; 59
127700 ; 47
127800 ; 46
127900 ; 53
128000 ; 64
128100 ; 60
128200 ; 50
128300 ; 39
128400 ; 49
128500 ; 56
128600 ; 52
128700 ; 52
128800 ; 44
128900 ; 54
129000 ; 45
129100 ; 41
129200 ; 53
129300 ; 47
129400 ; 50
129500 ; 48
129600 ; 38
129700 ; 40
129800 ; 42
129900 ; 41
130000 ; 36
130100 ; 54
130200 ; 42
130300 ; 44
130400 ; 48
130500 ; 53
130600 ; 41
130700 ; 46
130800 ; 53
130900 ; 42
131000 ; 51
131100 ; 51
131200 ; 51
131300 ; 42
131400 ; 65
131500 ; 38
131600 ; 45
131700 ; 45
131800 ; 41
131900 ; 49
132000 ; 41
132100 ; 39
132200 ; 64
132300 ; 46
132400 ; 56
132500 ; 42
132600 ; 64
132700 ; 42
132800 ; 48
132900 ; 44
133000 ; 44
133100 ; 54
133200 ; 52
133300 ; 41
133400 ; 54
133500 ; 48
133600 ; 45
133700 ; 56
133800 ; 49
133900 ; 43
134000 ; 47
134100 ; 52
134200 ; 58
134300 ; 40
134400 ; 41
134500 ; 44
134600 ; 43
134700 ; 46
134800 ; 41
134900 ; 44
135000 ; 48
135100 ; 50
135200 ; 45
135300 ; 49
135400 ; 39
135500 ; 52
135600 ; 38
135700 ; 38
135800 ; 52
135900 ; 50
136000 ; 47
136100 ; 53
136200 ; 51
136300 ; 48
136400 ; 56
136500 ; 71
136600 ; 46
136700 ; 45
136800 ; 49
136900 ; 50
137000 ; 45
137100 ; 47
137200 ; 59
137300 ; 43
137400 ; 46
137500 ; 48
137600 ; 53
137700 ; 40
137800 ; 55
137900 ; 46
138000 ; 38
138100 ; 46
138200 ; 47
138300 ; 38
138400 ; 60
138500 ; 44
138600 ; 52
138700 ; 56
138800 ; 49
138900 ; 45
139000 ; 44
139100 ; 51
139200 ; 52
139300 ; 48
139400 ; 47
139500 ; 49
139600 ; 43
139700 ; 52
139800 ; 47
139900 ; 46
140000 ; 53
140100 ; 57
140200 ; 46
140300 ; 53
140400 ; 46
140500 ; 38
140600 ; 50
140700 ; 57
140800 ; 48
140900 ; 56
141000 ; 69
141100 ; 58
141200 ; 40
141300 ; 49
141400 ; 43
141500 ; 63
141600 ; 45
141700 ; 38
141800 ; 49
141900 ; 48
142000 ; 36
142100 ; 47
142200 ; 47
142300 ; 53
142400 ; 49
142500 ; 42
142600 ; 45
142700 ; 62
142800 ; 47
142900 ; 60
143000 ; 37
143100 ; 45
143200 ; 49
143300 ; 44
143400 ; 34
143500 ; 52
143600 ; 59
143700 ; 54
143800 ; 57
143900 ; 48
144000 ; 50
144100 ; 44
144200 ; 37
144300 ; 37
144400 ; 56
144500 ; 51
144600 ; 52
144700 ; 63
144800 ; 45
144900 ; 54
145000 ; 40
145100 ; 49
145200 ; 45
145300 ; 50
145400 ; 66
145500 ; 52
145600 ; 48
145700 ; 53
145800 ; 37
145900 ; 45
146000 ; 48
146100 ; 57
146200 ; 54
146300 ; 36
146400 ; 59
146500 ; 53
146600 ; 47
146700 ; 46
146800 ; 61
146900 ; 46
147000 ; 44
147100 ; 47
147200 ; 38
147300 ; 50
147400 ; 48
147500 ; 50
147600 ; 51
147700 ; 45
147800 ; 38
147900 ; 52
148000 ; 52
148100 ; 46
148200 ; 48
148300 ; 39
148400 ; 52
148500 ; 52
148600 ; 46
148700 ; 46
148800 ; 44
148900 ; 45
149000 ; 56
149100 ; 46
149200 ; 48
149300 ; 49
149400 ; 52
149500 ; 45
149600 ; 44
149700 ; 44
149800 ; 46
149900 ; 64
150000 ; 50
150100 ; 56
150200 ; 44
150300 ; 46
150400 ; 50
150500 ; 52
150600 ; 43
150700 ; 59
150800 ; 49
150900 ; 44
151000 ; 40
151100 ; 35
151200 ; 44
151300 ; 46
151400 ; 66
151500 ; 58
151600 ; 52
151700 ; 46
151800 ; 46
151900 ; 49
152000 ; 41
152100 ; 42
152200 ; 47
152300 ; 43
152400 ; 48
152500 ; 56
152600 ; 44
152700 ; 52
152800 ; 43
152900 ; 52
153000 ; 46
153100 ; 57
153200 ; 53
153300 ; 47
153400 ; 63
153500 ; 54
153600 ; 47
153700 ; 43
153800 ; 46
153900 ; 43
154000 ; 51
154100 ; 49
154200 ; 53
154300 ; 49
154400 ; 57
154500 ; 38
154600 ; 47
154700 ; 51
154800 ; 57
154900 ; 47
155000 ; 54
155100 ; 43
155200 ; 49
155300 ; 51
155400 ; 55
155500 ; 49
155600 ; 64
155700 ; 55
155800 ; 44
155900 ; 47
156000 ; 39
156100 ; 37
156200 ; 46
156300 ; 50
156400 ; 49
156500 ; 45
156600 ; 48
156700 ; 72
156800 ; 50
156900 ; 47
157000 ; 50
157100 ; 46
157200 ; 44
157300 ; 56
157400 ; 45
157500 ; 52
157600 ; 52
157700 ; 41
157800 ; 48
157900 ; 57
158000 ; 45
158100 ; 51
158200 ; 59
158300 ; 40
158400 ; 49
158500 ; 43
158600 ; 49
158700 ; 49
158800 ; 38
158900 ; 50
159000 ; 54
159100 ; 52
159200 ; 45
159300 ; 43
159400 ; 50
159500 ; 50
159600 ; 42
159700 ; 62
159800 ; 39
159900 ; 61
160000 ; 39
160100 ; 52
160200 ; 60
160300 ; 52
160400 ; 54
160500 ; 53
160600 ; 36
160700 ; 52
160800 ; 58
160900 ; 46
161000 ; 43
161100 ; 43
161200 ; 41
161300 ; 51
161400 ; 41
161500 ; 56
161600 ; 49
161700 ; 51
161800 ; 56
161900 ; 41
162000 ; 51
162100 ; 50
162200 ; 42
162300 ; 53
162400 ; 56
162500 ; 53
162600 ; 55
162700 ; 44
162800 ; 38
162900 ; 50
163000 ; 42
163100 ; 54
163200 ; 46
163300 ; 48
163400 ; 43
163500 ; 55
163600 ; 49
163700 ; 40
163800 ; 50
163900 ; 44
164000 ; 37
164100 ; 51
164200 ; 44
164300 ; 46
164400 ; 47
164500 ; 57
164600 ; 47
164700 ; 58
164800 ; 46
164900 ; 37
165000 ; 35
165100 ; 52
165200 ; 48
165300 ; 37
165400 ; 41
165500 ; 44
165600 ; 39
165700 ; 64
165800 ; 34
165900 ; 51
166000 ; 43
166100 ; 55
166200 ; 42
166300 ; 57
166400 ; 49
166500 ; 53
166600 ; 43
166700 ; 52
166800 ; 49
166900 ; 39
167000 ; 60
167100 ; 45
167200 ; 49
167300 ; 46
167400 ; 36
167500 ; 46
167600 ; 51
167700 ; 47
167800 ; 44
167900 ; 43
168000 ; 52
168100 ; 54
168200 ; 47
168300 ; 54
168400 ; 50
168500 ; 52
168600 ; 43
168700 ; 60
168800 ; 46
168900 ; 43
169000 ; 49
169100 ; 53
169200 ; 50
169300 ; 43
169400 ; 50
169500 ; 49
169600 ; 60
169700 ; 47
169800 ; 44
169900 ; 61
170000 ; 55
170100 ; 46
170200 ; 41
170300 ; 52
170400 ; 50
170500 ; 44
170600 ; 39
170700 ; 48
170800 ; 59
170900 ; 54
171000 ; 37
171100 ; 56
171200 ; 37
171300 ; 52
171400 ; 58
171500 ; 54
171600 ; 42
171700 ; 49
171800 ; 48
171900 ; 44
172000 ; 49
172100 ; 47
172200 ; 46
172300 ; 43
172400 ; 50
172500 ; 50
172600 ; 35
172700 ; 45
172800 ; 52
172900 ; 46
173000 ; 38
173100 ; 56
173200 ; 54
173300 ; 56
173400 ; 46
173500 ; 41
173600 ; 53
173700 ; 32
173800 ; 51
173900 ; 49
174000 ; 45
174100 ; 46
174200 ; 42
174300 ; 49
174400 ; 41
174500 ; 52
174600 ; 52
174700 ; 46
174800 ; 47
